City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
125,Sumter,28.7086,-82.0831,60.98,59,65,3.0,1020,US,1733001216
126,Papatowai,-46.5619,169.4708,59.36,48,8,13.13,1021,NZ,1733001218
127,Badger,64.8,-147.5333,-8.43,78,100,0.0,1027,US,1733001219
128,Venice of the Philippines,4.6628,119.3928,81.88,82,100,17.0,1006,PH,1733001221
129,Mayqayyng,51.4625,75.7986,11.89,84,85,5.99,1022,KZ,1733001222
130,Tralee,52.2704,-9.7026,53.46,91,100,6.8,1006,IE,1733001223
131,Micheweni,-4.9667,39.8333,80.33,85,28,7.92,1011,TZ,1733001224
132,Kuna,43.4918,-116.4201,38.86,62,0,3.0,1026,US,1733001127
133,Constanța,44.1833,28.65,41.68,73,98,20.15,1031,RO,1733001227
134,Opuwo,-18.0607,13.84,76.48,28,67,4.65,1013,NA,1733001228
135,Amānganj,24.4333,80.0333,56.59,46,71,3.53,1013,IN,1733001229
136,Ḩukūmatī Azrah,34.1736,69.6457,29.26,79,3,2.17,1018,AF,1733001230
137,Lebu,-37.6167,-73.65,59.11,74,7,14.32,1015,CL,1733001232
138,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,93,75,2.24,994,RU,1733001233
139,Rockport,28.0206,-97.0544,64.4,78,40,10.36,1021,US,1733001234
140,Villa Gesell,-37.2639,-56.973,63.1,62,2,18.28,1015,AR,1733001235
141,Ciutadella,40.0011,3.8414,59.47,72,0,4.38,1027,ES,1733001236
142,Coristanco,43.2,-8.75,62.46,84,73,10.89,1021,ES,1733001238
143,Port Lincoln,-34.7333,135.8667,60.26,85,3,8.88,1008,AU,1733001239
144,Lüderitz,-26.6481,15.1594,66.0,53,0,22.24,1015,NA,1733001240
145,Labytnangi,66.6572,66.4183,21.87,86,100,9.73,998,RU,1733001241
146,Al Arţāwīyah,26.5053,45.3444,54.99,49,4,8.21,1021,SA,1733001242
147,Toliara,-23.35,43.6667,74.37,65,0,16.4,1014,MG,1733001244
148,Hede,33.7681,120.2517,44.28,63,69,7.02,1015,CN,1733001245
149,Henley on Thames,51.5333,-0.9,54.14,93,100,14.97,1021,GB,1733001246
150,Sos'va,59.1766,61.8558,26.35,88,66,8.57,1014,RU,1733001247
151,Nantucket,41.2835,-70.0995,39.31,48,40,16.11,1013,US,1733001249
152,Riyadh,24.6877,46.7219,59.05,38,0,6.8,1020,SA,1733001250
153,Mörön,49.6342,100.1625,16.29,59,98,1.52,1026,MN,1733001251
154,Salinópolis,-0.6136,-47.3561,81.9,76,1,9.75,1010,BR,1733001252
155,Andreyevo,55.9465,41.1505,31.62,88,100,5.21,1031,RU,1733001254
156,Ambodifotatra,-16.9833,49.85,78.69,77,20,7.34,1012,MG,1733001255
157,Carnarvon,-24.8667,113.6333,72.63,76,63,13.33,1006,AU,1733001256
158,Pamandzi,-12.7967,45.2794,82.18,83,97,13.8,1011,YT,1733001257
159,Weno,7.4515,151.8468,84.15,74,75,8.05,1008,FM,1733001258
160,Dryden,49.7833,-92.7503,16.09,79,100,6.91,1019,CA,1733001260
161,Lompoc,34.6391,-120.4579,68.54,54,75,4.61,1017,US,1733001261
162,Nemuro,43.3236,145.575,34.65,70,0,15.41,1001,JP,1733001263
163,Witu,-2.3889,40.4382,78.12,84,39,4.14,1011,KE,1733001266
164,Sitka,57.0531,-135.33,30.09,47,0,3.44,1017,US,1733001267
165,Mālvan,16.0667,73.4667,75.79,58,100,8.25,1008,IN,1733001268
166,Broome,42.2506,-75.833,27.46,75,100,10.36,1016,US,1733001270
167,Azare,11.6765,10.1948,69.44,27,11,9.19,1017,NG,1733001271
168,Port Elizabeth,-33.918,25.5701,64.31,93,61,1.01,1021,ZA,1733001273
169,Scarborough,54.2797,-0.4044,53.56,64,70,7.0,1017,GB,1733001275
170,Newman,37.3138,-121.0208,60.8,38,20,2.53,1019,US,1733001276
171,Beltrán,-27.8291,-64.061,75.54,76,87,4.32,1005,AR,1733001277
172,Fortuna,40.5982,-124.1573,57.83,57,0,3.44,1020,US,1733001278
173,Anse La Raye,13.9333,-61.0333,81.21,48,20,11.5,1013,LC,1733001279
174,Uturoa,-16.7333,-151.4333,81.61,72,84,6.85,1012,PF,1733001281
175,Hamilton,39.1834,-84.5333,33.48,42,0,11.5,1023,US,1733001282
176,Magadan,59.5667,150.8,27.1,81,99,17.36,1005,RU,1733001283
177,Huarmey,-10.0681,-78.1522,71.74,79,53,10.98,1010,PE,1733001284
178,Kiruna,67.8557,20.2251,5.92,85,100,6.91,1009,SE,1733001285
179,Kavaratti,10.5669,72.642,80.94,70,100,13.31,1007,IN,1733001287
180,Blackmans Bay,-43.0167,147.3167,61.92,96,87,8.68,999,AU,1733001288
181,Gao,16.6362,1.637,68.56,16,0,10.87,1018,ML,1733001289
182,Ghanzi,-21.5667,21.7833,76.62,22,0,8.75,1015,BW,1733001290
183,Fuglafjørður,62.244,-6.814,46.92,98,100,21.45,994,FO,1733001292
184,Isangel,-19.55,169.2667,82.51,74,20,3.44,1009,VU,1733001293
185,Koné,-21.0595,164.8658,82.81,52,0,3.29,1010,NC,1733001294
186,Port Douglas,-16.4833,145.4667,79.61,82,63,2.51,1010,AU,1733001295
187,Katsuura,35.1333,140.3,51.84,66,0,13.24,1013,JP,1733001297
188,La Sarre,48.8002,-79.1996,22.89,96,100,5.32,1005,CA,1733001298
189,Taltal,-25.4,-70.4833,66.15,71,29,6.08,1014,CL,1733001299
190,Ibresi,55.2961,47.0394,30.29,92,100,6.62,1030,RU,1733001300
